date,AT,BE,BG,CH,CZ,DE,DK,EL,ES,FI,FR,HR,IE,IS,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK
2000-01-01,1.4,0.3,7,:,3.4,1.7,2.8,2.3,2.9,2.3,1.7,3.1,4.5,4.6,2.2,3.5,1.6,2.7,10.1,1.9,56.7,1,7.8,13.7,0.8
2000-02-01,1.9,2.1,8.9,:,3.5,1.7,2.8,2.6,3,2.7,1.4,3.2,4.6,4.3,2.4,2.6,1.5,3,10.5,1.6,55.6,1.4,8.4,16.7,0.9
2000-03-01,1.9,2.5,9.6,:,3.8,1.4,2.9,2.8,3,3.2,1.6,3.5,5,4.6,2.5,3,1.6,2.7,10.3,1.4,49,1.3,9,16.8,0.6
2000-04-01,1.8,2.3,9.2,:,3.4,1,2.9,2.1,3,2.5,1.3,3.9,5.1,5.1,2.4,3.2,1.7,2.7,9.9,1.9,48.9,1,9.3,16.2,0.6
2000-05-01,1.6,2.4,10.3,:,3.7,0.8,2.9,2.6,3.2,2.7,1.5,3.4,5.1,5,2.5,2.9,2,2.9,9.8,2.4,44,1.3,9.1,16.3,0.5
2000-06-01,2.4,3,11.6,:,4.1,1.4,2.9,2.2,3.5,3.1,1.8,4.5,5.4,4.7,2.8,4.4,2.5,3.5,10.6,2.8,40.9,1.3,9.8,15.7,0.8
2000-07-01,1.9,1.7,8.6,:,4.1,1.3,2.8,2.6,3.7,2.9,1.9,4.6,5.9,5.2,2.8,4.7,2.8,3.4,11.6,3.3,44.5,1.3,8.9,9.3,0.9
2000-08-01,1.9,3.5,11,:,4.2,1,2.1,2.9,3.6,2.9,2,4.8,5.7,4.1,2.8,3.7,2.5,3.5,10.7,3.6,45.4,1.3,8.3,8.8,0.6
2000-09-01,2.3,4,11.9,:,4.2,1.5,2.8,3,3.7,3.4,2.3,5.2,5.5,3.6,2.8,4.2,2.9,3.5,10.2,3.6,44.9,1.2,9,8.8,1
2000-10-01,2.2,3.7,11.9,:,4.5,1.5,2.9,3.8,4,3.4,2.1,5.3,5.9,3.8,2.7,4.3,3.2,3.1,9.8,3.7,42.9,1.3,9.1,8.7,1
2000-11-01,2.3,3.7,12.3,:,4.3,1.4,2.8,4,4.1,3.3,2.3,6.1,5.9,4.1,2.9,4.5,2.9,3,9.1,3.6,41.3,1.8,9.8,8.6,1.1
2000-12-01,1.8,3,11.3,:,4,2.2,2.4,3.7,4,2.9,1.8,5.9,4.7,3.7,2.7,4.3,2.9,2.8,8.4,3.8,40.7,1.3,8.9,8.4,0.8
2001-01-01,2.3,2.7,9.3,:,4.1,1.3,2.4,3.2,2.9,2.9,1.3,5.4,3.9,3.4,2.5,2.9,4.6,3,7.4,4.4,39.9,1.6,8.5,7.5,0.9
2001-02-01,1.8,2.5,8.5,:,4,1.8,2.3,3.4,2.7,2.7,1.5,5.4,4,3.9,1.5,3,5,3.4,6.5,4.8,40,1.5,8.8,6.3,0.8
2001-03-01,1.9,2.2,8.9,:,4.1,1.8,2.2,3.2,3,2.5,1.5,4.5,4.1,4.1,2.2,3,5,3.4,6.1,5.1,40.4,1.8,9,6.6,0.9
2001-04-01,2.6,2.9,9.8,:,4.7,2.2,2.6,3.7,3.6,2.9,2,5.6,4.2,4.4,3,2.7,5.4,3.6,6.5,4.6,37.4,2.9,9.1,7.1,1.2
2001-05-01,2.9,3.2,9.7,:,5.1,2.9,2.7,3.9,3.8,3.3,2.4,6.1,4.2,5.6,2.8,3.8,5.5,4,7.2,4.9,37.3,3.1,10,7.3,1.7
2001-06-01,2.6,3,9.4,:,5.3,2.4,2.3,4.5,3.7,3,2.2,4.8,4.3,7.2,2.8,2.7,5.1,3.4,6.1,4.6,35.7,2.9,9.8,7.5,1.7
2001-07-01,2.8,2.7,8.5,:,5.4,2.1,2.3,4.2,2.4,2.6,2.2,3.4,4,7.4,2.3,2.4,5.3,2.1,5,4.3,31.9,2.8,9.1,8,1.4
2001-08-01,2.4,2.5,5.7,:,5.1,2.2,2.5,4,2.1,2.7,2,4.2,3.7,8.1,2,2.5,5.2,2.2,4.7,4,32.3,3,8.8,7.7,1.8
2001-09-01,2.4,1.9,4.7,:,4.6,1.8,2.2,4,2.3,2.6,1.6,3.8,3.8,8.8,2,1.9,5.3,1.9,4.1,4.1,31.2,3.4,8.3,7.3,1.3
2001-10-01,2.3,2,5.2,:,4.3,1.6,1.9,3.2,2.5,2.4,1.8,3.1,3.8,8.4,2.3,1.6,5,1.8,3.6,4.2,30.8,3,8.1,6.9,1.2
2001-11-01,1.9,1.8,4.6,:,3.9,1.4,1.8,2.9,2.5,2.2,1.3,2.6,3.6,8.6,2.3,1.4,4.8,1.3,3.5,4.1,30.7,2.9,7.2,6.8,0.8
2001-12-01,1.8,1.9,4.8,:,3.9,1.4,2,3.5,2.5,2.3,1.5,2.4,4.3,9.1,2.3,0.9,5.1,1.5,3.5,3.9,30.3,3.2,7.1,6.7,1.1
2002-01-01,1.9,2.6,7,:,3.4,2,2.3,4.8,3.1,2.9,2.4,3.3,5.3,9.9,2.3,2.2,4.9,0.9,3.6,3.7,28.6,2.9,8.4,6.5,1.6
2002-02-01,1.7,2.5,8.4,:,3.4,1.8,2.4,3.8,3.2,2.5,2.2,2.8,5,9.4,2.5,2.2,4.5,0.4,3.7,3.3,27.2,2.8,8,4.4,1.5
2002-03-01,1.7,2.5,9.1,:,3.3,1.9,2.5,4.3,3.2,2.6,2.2,3.3,5.1,9.1,2.5,1.7,4.4,0.5,3.4,3.4,25.1,2.9,7.6,3.8,1.5
2002-04-01,1.7,1.7,9.2,:,2.9,1.5,2.4,4.1,3.7,2.5,2.1,2.1,5.2,7.8,2.5,1.9,4.2,-0.1,3,3.6,24.4,2.3,8.4,3.7,1.4
2002-05-01,1.6,1.3,6.9,:,2.1,1.1,2,3.8,3.7,1.8,1.6,1.9,5,6.1,2.5,1.3,3.8,-0.4,1.5,3.4,24.5,1.6,7.6,3.3,0.8
2002-06-01,1.5,0.8,5.2,:,0.9,0.9,2.1,3.6,3.4,1.5,1.4,2,4.5,4.7,2.4,1.2,3.8,-0.4,1.2,3.5,24,1.7,6.9,2.8,0.6
2002-07-01,1.5,1.2,5.5,:,0.3,1.1,2.1,3.6,3.5,2,1.6,2.7,4.1,4,2.5,1.9,3.7,1.1,1.2,3.5,23,1.7,7.5,2.2,1.1
2002-08-01,2,1.2,4.5,:,0.3,1.1,2.4,3.8,3.7,1.8,1.8,1.8,4.5,3.5,2.5,2,3.7,1,1.4,3.9,21.3,1.6,7.7,3,1
2002-09-01,1.6,1.2,4,:,0.4,1.1,2.4,3.8,3.5,1.3,1.8,2.2,4.4,3.2,2.9,2.2,3.6,1.1,1.4,3.9,19.7,1.2,7.2,3.1,1
2002-10-01,1.6,1.2,3.2,:,0.1,1.2,2.6,4,4,1.7,1.9,2.7,4.4,3,2.9,2.5,3.4,1.3,1.2,4.1,18.8,1.7,7,3.3,1.4
2002-11-01,1.7,1.1,3.2,:,0.3,1.1,2.8,3.9,3.9,1.7,2.1,2.8,4.6,2.3,2.9,2.6,3.3,1.8,1.1,4.1,18.6,1.4,6.5,3,1.5
2002-12-01,1.7,1.3,3.8,:,0.1,1.1,2.6,3.5,4,1.7,2.2,2.8,4.5,1.9,3,2.8,3.2,2.5,0.8,4,17.8,1.7,7.1,3.2,1.7
2003-01-01,1.7,1.2,1.7,:,-0.8,1.1,2.6,3.3,3.8,1.4,1.9,2.3,4.8,1.1,2.9,3.2,2.7,4.2,0.3,4,16.6,2.6,6.7,7.1,1.3
2003-02-01,1.7,1.7,0.2,:,-0.5,1.2,2.7,4.3,3.9,2.1,2.6,2.5,5.1,1.1,2.6,3.2,2.9,4,0.3,4.1,16.2,3.3,6.4,7.4,1.6
