YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,-5.53,-3.53,2.57,11.17,11.87,15.67,19.37,16.37,14.17,9.47,3.07,1.57,-4.42,8.54,17.14,8.90,7.54
1881,-6.43,-1.83,4.37,6.47,12.47,16.07,18.97,17.77,12.77,5.87,1.37,-0.83,-2.23,7.77,17.60,6.67,7.45
1882,-1.63,0.07,8.57,8.17,13.87,15.17,18.37,16.37,13.77,9.97,3.07,0.17,-0.80,10.20,16.64,8.94,8.74
1883,-3.23,0.47,-0.73,6.57,13.27,17.27,17.67,17.07,13.57,8.97,2.07,-2.43,-0.86,6.37,17.34,8.20,7.76
1884,-1.43,0.27,5.17,7.87,13.87,14.17,19.17,16.87,13.97,7.37,0.67,-0.74,-1.20,8.97,16.74,7.34,7.96
1885,-4.54,0.06,5.06,9.76,11.56,17.16,19.46,16.56,14.36,8.16,3.46,-3.24,-1.74,8.79,17.73,8.66,8.36
1886,-2.84,-0.34,0.26,9.36,13.26,15.96,18.36,17.56,15.36,9.76,3.46,0.26,-2.14,7.63,17.29,9.53,8.08
1887,-3.44,-3.44,1.46,8.16,12.36,16.46,19.76,17.26,14.86,6.26,3.16,-2.24,-2.21,7.33,17.83,8.09,7.76
1888,-4.54,-2.64,2.36,7.26,13.56,17.26,16.56,17.76,14.06,6.46,0.26,-1.44,-3.14,7.73,17.19,6.93,7.18
1889,-3.94,-2.33,1.96,8.06,15.56,18.56,17.76,16.66,11.66,9.86,1.76,-4.24,-2.57,8.53,17.66,7.76,7.84
1890,-1.34,-3.04,5.86,8.16,14.56,15.66,18.06,20.56,13.46,6.96,2.66,-5.35,-2.87,9.53,18.09,7.69,8.11
1891,-7.65,-3.55,3.45,6.35,14.45,16.25,17.95,16.25,13.25,9.95,2.45,-0.55,-5.52,8.08,16.82,8.55,6.98
1892,-3.65,-0.15,0.65,8.35,13.45,16.55,17.55,18.45,14.65,7.25,0.55,-4.55,-1.45,7.48,17.52,7.48,7.76
1893,-7.05,0.15,3.85,8.15,12.75,15.85,18.05,17.15,13.25,8.95,1.15,-1.55,-3.82,8.25,17.02,7.78,7.31
1894,-5.23,0.64,4.27,10.38,13.11,15.49,18.88,16.56,12.27,9.29,2.77,-3.49,-2.05,9.25,16.98,8.11,8.07
1895,-4.38,-6.70,1.39,8.04,12.05,16.62,19.08,16.37,14.74,8.16,4.07,-1.50,-4.86,7.16,17.36,8.99,7.16
1896,-5.27,-2.05,5.31,6.52,11.47,16.25,18.37,15.81,13.88,10.35,2.32,-1.63,-2.94,7.77,16.81,8.85,7.62
1897,-2.92,0.59,6.47,8.73,12.16,17.17,18.63,17.48,14.51,8.00,0.42,-3.19,-1.32,9.12,17.76,7.64,8.30
1898,-1.55,0.12,4.12,9.67,13.41,15.40,16.74,18.27,14.33,9.95,6.64,0.19,-1.54,9.07,16.80,10.31,8.66
1899,0.91,0.76,3.26,8.72,12.97,15.83,18.56,17.90,13.78,7.87,4.49,-5.09,0.62,8.32,17.43,8.71,8.77
1900,-0.25,2.47,1.65,7.53,12.35,17.00,19.56,17.02,14.94,9.30,5.74,-0.89,-0.96,7.18,17.86,9.99,8.52
1901,-6.33,-5.22,3.43,9.00,13.39,17.45,19.06,17.40,13.23,9.71,1.61,0.72,-4.15,8.61,17.97,8.18,7.65
1902,1.14,-0.29,3.52,8.64,9.30,15.02,17.12,16.79,13.34,8.44,0.49,-3.89,0.52,7.15,16.31,7.42,7.85
1903,-4.68,0.97,5.84,5.94,12.99,15.78,17.87,16.75,13.28,9.29,4.26,-0.41,-2.53,8.26,16.80,8.94,7.87
1904,-3.29,1.40,4.37,9.53,13.01,16.75,19.05,17.44,12.73,9.40,2.89,-0.02,-0.77,8.97,17.75,8.34,8.57
1905,-5.32,-0.32,4.52,7.33,12.56,16.46,19.84,17.75,15.14,4.38,3.73,-0.33,-1.89,8.14,18.02,7.75,8.00
1906,-2.52,-0.15,3.53,8.26,13.22,15.88,18.39,17.26,12.27,8.91,5.15,-2.70,-1.00,8.34,17.18,8.78,8.32
1907,-4.26,-2.48,1.31,5.52,14.17,16.53,16.97,17.52,13.65,12.04,2.42,-0.09,-3.15,7.00,17.01,9.37,7.56
1908,-3.83,0.82,1.75,6.55,15.59,17.50,17.88,15.90,12.02,7.60,-0.80,-2.36,-1.03,7.96,17.09,6.27,7.57
1909,-5.65,-3.54,1.70,9.43,12.21,15.55,16.26,17.74,14.10,10.53,2.48,1.21,-3.85,7.78,16.52,9.04,7.37
1910,-1.70,2.14,5.08,8.09,12.59,17.26,17.01,17.33,12.76,9.45,2.20,1.67,0.55,8.59,17.20,8.14,8.62
1911,-3.20,-0.77,4.17,8.37,12.88,15.38,19.15,18.70,14.64,8.68,5.62,0.73,-0.77,8.47,17.74,9.65,8.77
1912,-3.36,2.25,6.51,7.12,13.32,17.42,18.08,15.61,9.55,6.89,0.03,-0.34,-0.13,8.98,17.04,5.49,7.85
1913,-3.06,-1.26,5.78,8.57,12.85,16.12,15.52,15.74,14.04,9.67,5.46,-0.14,-1.55,9.07,15.79,9.72,8.26
1914,-6.19,-2.01,4.83,9.70,12.17,14.79,17.06,17.33,12.27,7.75,2.04,-0.45,-2.78,8.90,16.39,7.35,7.47
1915,-0.60,-0.65,3.25,8.56,14.26,17.85,17.90,16.18,11.85,6.63,0.96,2.07,-0.57,8.69,17.31,6.48,7.98
1916,1.46,-0.48,6.34,8.61,13.93,15.50,18.45,17.41,12.35,8.37,4.87,1.71,1.02,9.63,17.12,8.53,9.07
