YEAR,Jan,Feb,Mär,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
1906,-2.7,-1.4,2.9,8.6,13.1,15.2,18,17.5,12.3,10.7,4.5,-4.1
1907,-3,-3.5,1.4,6.5,14.5,16.4,16.1,17.5,15.3,12.5,3.6,-1.1
1908,-5.5,-0.8,3.7,6.3,15,17.8,17.5,15.4,12.8,8.8,0.3,-2.1
1909,-6.1,-1.9,2.7,10,12.2,15.4,16.3,16.4,13.7,10.4,0.7,0.2
1910,-1.1,0.9,5.1,8.5,11.7,16.9,15.7,16.4,11.7,9.7,1.6,2.5
1911,-6.8,-1.4,5.4,8.4,13,15.6,19.7,19,15,9.6,5,0.9
1912,-1.3,3.4,6.1,7.6,13.4,17,17.3,14.9,9,7,-0.4,-1.2
1913,-2.3,-1.9,6.5,9.2,13,15.8,14.2,15.4,13.6,10.8,4.3,-1
1914,-7.7,0.7,5.7,10.6,12,14.7,16.3,17.8,13.3,8.6,2.3,0.9
1915,-1.6,0.6,3.2,8.9,15.7,18,16.9,15.7,12.6,6.5,0.1,2.3
1916,0.6,1.6,6.5,9.5,14.3,14.3,16.9,16.6,11.8,8.3,3.6,0.1
1917,-4.3,-2.9,3,5.1,16,18.5,18,17.1,15.8,7,1.5,-5.2
1918,-2.1,0.1,5.7,10.3,14.3,13.5,17,16.4,14.3,7.7,2.7,0
1919,-1.4,-2.2,4.7,6.1,11.3,15.8,14.9,18.1,15.7,5.8,0.3,-3
1920,-0.1,1.5,6.4,10.4,16.1,15.6,17.9,15.6,14.2,8.9,2.7,-2.1
1921,1.3,0.8,6.5,7.4,15.3,15.3,19.4,18,15.1,10.2,-0.3,-0.6
1922,-3.4,-1.8,5.6,7.9,14.4,16.6,16.8,17.5,12.3,6.8,0.5,-2.1
1923,-2,1.4,5.6,9.2,14.2,13.1,19.6,18.1,13.2,10.4,3.8,-2.2
1924,-4.6,-2.9,3.9,9,14.6,15.9,17.5,14.7,14.7,9.2,3.2,-0.2
1925,-1.3,2.2,2.2,9.1,13.7,16.8,17.2,16.8,12.1,8.8,1.7,-3.1
1926,-2,5.1,4.7,10.5,11.9,13.4,16.9,16.7,15.3,9.1,7.2,-2.4
1927,-1.9,-1.4,6.1,9,14.1,17,17.9,17,14.3,7.7,4.1,-1.6
1928,-0.8,1.5,5.9,9.9,11,16.3,20.7,17.9,13.5,9.2,4.3,-4.2
1929,-8.1,-8.4,3.9,6.7,14,16.8,18.9,17.2,15.7,9.7,4.2,1.1
1930,1.2,0,6.6,10,12.3,19.8,17.6,16.6,14,8.1,5.5,-2.2
1931,-2.4,-2.7,1,7.4,16.2,17.8,17.1,15.9,10.1,7.4,5.1,-3.4
1932,-0.8,-4.3,2.4,8.2,13.3,15.5,18.2,19.4,17.8,8.5,3.4,1.2
1933,-4.8,-1.1,5.5,8.4,11.2,13.9,17.9,17.2,14.4,8.9,3.1,-5.2
1934,-3.1,-1.3,5.4,12.1,14.6,15.8,18.5,16.5,15.2,8,4.1,3.1
1935,-5,0.2,2.8,7.6,11.4,18.7,18.5,16.6,14,9.4,5,-1.3
1936,1.9,0.3,7.6,8.9,13.4,15.8,17.3,16.5,14.2,4.7,2.8,-2.7
1937,-1.9,1.1,4,8.6,15.4,18.2,18.1,16.1,13.5,10,1.9,-2.5
1938,-2.4,-2.5,5.5,5.4,12.1,18.2,17.6,16.9,14.3,8.8,4,-2.1
1939,-0.4,1.2,1.4,11.2,11.3,16.8,17.9,17.9,13.3,8,4.2,-3.1
1940,-8,-2.3,3.4,9.4,12.4,16,16.8,15.8,13.6,9.2,4.3,-8
1941,-4.2,0.8,5.7,7.8,10.8,17,18.3,16.1,12.8,7.8,2.1,-2.5
1942,-7.4,-3.5,6.6,9.2,13.6,16.3,17.5,17.3,16.5,12,0.7,0.4
1943,-2.5,1.3,7.2,9.8,13.4,14.8,17.5,18.9,14.6,10.8,1.8,0.2
1944,-1.4,-2.4,0.7,9.8,12.5,15.2,17.6,20,13.8,8.4,1.2,-3.3
1945,-8.4,1.1,5.1,9.7,15,17.4,19,16.7,13.8,8,1.8,-0.4
1946,-2.8,1.6,6.2,12.4,16,15.9,18.4,17.3,15.1,8.2,2.7,-3.7
1947,-6.3,-1.7,5.7,11.8,15.8,18,19.1,19.1,16.9,8.6,4.8,-0.8
1948,2.4,0.3,7.2,10.3,15.9,15.2,15.8,17.4,14.7,9.5,3.5,-2
1949,-0.7,-0.4,2.5,12.1,13.5,16.2,18.2,17.2,16.7,10.8,3.5,0.1
1950,-4,2,6,7.8,15.9,19.1,20,18.3,13.8,8,3.9,-3.2
1951,-1,2,3.6,8.5,13.5,16.8,18.4,18.5,15.9,8.3,6.9,-0.6
1952,-3.9,-1.8,4,11.9,13.9,17.4,20.2,18.4,11.5,7.7,0.6,-2.1
1953,-4.9,-1.5,5.4,10.7,13.8,16.3,18.6,16.9,15.2,11.3,2.1,1.8
