"Region";"Schadstoff";"Einheit";"CRF_Code";"CRF_Sektor";"Quelle";"Datenstand";"Jahr";"Werte"
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"1990";79082673,1680114
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"1991";82746098,7507865
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"1992";76176876,3055324
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"1993";76550864,2051918
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"1994";76758521,4284931
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"1995";79985739,5795653
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"1996";83145348,9370902
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"1997";82752333,2634024
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"1998";82045925,1599037
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"1999";80467642,9811024
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2000";80640416,3441363
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2001";84524169,6068751
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2002";86278914,9596781
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2003";91647288,3146787
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2004";91442941,6129343
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2005";92605068,2860565
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2006";90193095,4787137
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2007";87429937,2407129
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2008";86841176,5888844
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2009";80222766,7068933
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2010";84793168,3491172
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2011";82606720,9981643
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2012";79889008,800866
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2013";80309900,0595015
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2014";76721305,3855973
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2015";78934650,3991703
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2016";79863230,0463896
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2017";82195350,2643087
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2018";78903445,8673754
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2019";80058250,3967287
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2020";74030055,8589262
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2021";77359765,109191
"AT";"THG";"t CO2-äq";"0";"Total (without LULUCF)";"OLI 2023 (1990-2022)";"15.01.2024";"2022";72844016,6792345
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"1990";52665863,137146
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"1991";56275216,6192123
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"1992";51740572,8798813
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"1993";52087289,9232545
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"1994";51614230,9716306
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"1995";54161120,52426
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"1996";58178660,7280503
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"1997";57033751,1274066
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"1998";56887302,9635644
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"1999";55789766,4257675
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"2000";55289864,0058352
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"2001";59455338,104439
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"2002";60621377,8971785
"AT";"THG";"t CO2-äq";"1";"Total Energy";"OLI 2023 (1990-2022)";"15.01.2024";"2003";66129333,3540689
